parameter_id,frequency_band,variable,TO,FROM,NET,average_TCI
P2_H10_S2,medium_term,r_electricity,31.705936774914008,29.001624451131125,2.704312323782885,27.84739924055887
P2_H10_S2,medium_term,r_gas,11.485544593020093,17.93218346841438,-6.446638875394287,27.84739924055887
P2_H10_S2,medium_term,r_gold,21.315101515418416,27.626843492419987,-6.31174197700157,27.84739924055887
P2_H10_S2,medium_term,r_wti,22.007964577768668,31.82432502894242,-9.816360451173761,27.84739924055887
P2_H10_S2,short_term,r_ai,36.18071457082467,32.86984854460419,3.3108660262204808,26.552664937633327
P2_H10_S2,short_term,r_coal,34.18402108677126,33.02017345793059,1.1638476288406698,26.552664937633327
P2_H10_S2,short_term,r_electricity,29.97407151996291,28.103464685488518,1.8706068344743958,26.552664937633327
P2_H10_S2,short_term,r_gas,12.519243750255095,16.18393083862544,-3.664687088370345,26.552664937633327
P2_H10_S2,short_term,r_gold,22.065282281661773,24.037298965787535,-1.9720166841257636,26.552664937633327
P2_H10_S2,short_term,r_wti,24.392656416324247,25.101273133363684,-0.7086167170394373,26.552664937633327
P2_H10_S3,long_term,r_ai,41.524052415355946,29.729469286737544,11.794583128618404,27.887995563857718
P2_H10_S3,long_term,r_coal,39.095271198655624,30.55001604685305,8.545255151802571,27.887995563857718
P2_H10_S3,long_term,r_electricity,32.25751013631791,28.975760211147907,3.281749925170002,27.887995563857718
P2_H10_S3,long_term,r_gas,11.387163039803383,18.01646568878328,-6.6293026489798965,27.887995563857718
P2_H10_S3,long_term,r_gold,21.468319271858395,28.213489458001312,-6.745170186142918,27.887995563857718
P2_H10_S3,long_term,r_wti,21.595657321155034,31.842772691623196,-10.247115370468164,27.887995563857718
P2_H10_S3,medium_term,r_ai,39.49131931031264,31.05296824721769,8.438351063094947,27.753941479855403
P2_H10_S3,medium_term,r_coal,40.58395307578977,29.912136956857008,10.671816118932771,27.753941479855403
P2_H10_S3,medium_term,r_electricity,31.11902450984647,28.975002403013608,2.1440221068328578,27.753941479855403
P2_H10_S3,medium_term,r_gas,11.709686034811856,17.923152507109894,-6.213466472298037,27.753941479855403
P2_H10_S3,medium_term,r_gold,21.408234056290176,26.962963125724787,-5.554729069434612,27.753941479855403
P2_H10_S3,medium_term,r_wti,22.211431892081514,31.69742563920944,-9.485993747127925,27.753941479855403
P2_H10_S3,short_term,r_ai,35.865447277527856,32.977915962903374,2.8875313146244803,26.36779412669703
P2_H10_S3,short_term,r_coal,33.15890556933797,33.40623360721299,-0.2473280378750235,26.36779412669703
P2_H10_S3,short_term,r_electricity,29.89019942910568,27.993022728112532,1.8971767009931484,26.36779412669703
P2_H10_S3,short_term,r_gas,12.57177883846871,15.87645849246795,-3.3046796539992425,26.36779412669703
P2_H10_S3,short_term,r_gold,22.134561975673932,23.746773751871846,-1.6122117761979118,26.36779412669703
P2_H10_S3,short_term,r_wti,24.585871670068048,24.206360217613497,0.3795114524545492,26.36779412669703
P2_H20_S1,long_term,r_ai,41.50871721962336,29.74477232570632,11.763944893917031,27.887986291004054
P2_H20_S1,long_term,r_coal,39.11913542419651,30.543252682534632,8.575882741661873,27.887986291004054
P2_H20_S1,long_term,r_electricity,32.24620503446897,28.976768751755138,3.2694362827138375,27.887986291004054
P2_H20_S1,long_term,r_gas,11.38659734333363,18.014871046541185,-6.628273703207552,27.887986291004054
P2_H20_S1,long_term,r_gold,21.459764688271495,28.204317615858283,-6.744552927586792,27.887986291004054
P2_H20_S1,long_term,r_wti,21.607498036130387,31.843935323628788,-10.2364372874984,27.887986291004054
P2_H20_S1,medium_term,r_ai,38.420087334224625,31.479682619533456,6.940404714691168,27.619602115452924
P2_H20_S1,medium_term,r_coal,40.90071098882518,29.59972425816805,11.300986730657137,27.619602115452924
P2_H20_S1,medium_term,r_electricity,30.481324099885754,28.8716633304753,1.6096607694104543,27.619602115452924
P2_H20_S1,medium_term,r_gas,12.03102506044391,18.04181179110872,-6.01078673066481,27.619602115452924
