date,TCI,TO_r_ai,FROM_r_ai,NET_r_ai,TO_r_electricity,FROM_r_electricity,NET_r_electricity,TO_r_coal,FROM_r_coal,NET_r_coal,TO_r_gas,FROM_r_gas,NET_r_gas,TO_r_wti,FROM_r_wti,NET_r_wti,TO_r_gold,FROM_r_gold,NET_r_gold
2024-08-19,18.421422857077882,24.072389954155376,24.64048696811171,-0.5680970139563328,11.341952603916711,12.133397189571134,-0.791444585654423,33.53201350783776,30.705442965946045,2.8265705418917157,1.9565394102143399,3.508641256440049,-1.5521018462257092,9.712961494676914,11.632028357138157,-1.9190668624612428,29.912680171666196,27.908540405260197,2.0041397664059986
2024-08-20,18.35185900366373,24.184577169114547,24.75413985362083,-0.569562684506284,11.336673945625092,11.99810681335318,-0.6614328677280881,33.77899097279856,30.831597080473838,2.9473938923247225,1.920479120477886,3.550373184503805,-1.6298940640259192,9.89754773392413,11.67470599522632,-1.7771582613021906,28.992885080042154,27.30223109480439,1.6906539852377627
2024-08-21,17.905855951253,24.3437881728357,24.895508039532256,-0.5517198666965548,11.775543997349057,12.183753604243927,-0.40820960689486974,32.58045452249541,30.289156011763318,2.2912985107320907,2.049500558304362,3.77760165270987,-1.728101094405508,8.415366644271701,9.527967704282455,-1.1126010600107534,28.27048181226176,26.761148694986158,1.5093331172756024
2024-08-22,17.877456227481918,25.935001714886564,26.729825448924633,-0.7948237340380686,12.474617827100296,12.781046844676725,-0.3064290175764288,32.092724085930804,30.90356237256732,1.189161713363486,1.2326883336370542,2.3229044742774447,-1.0902161406403905,7.015435920148342,7.1114134926561325,-0.09597757250779093,28.514269483188453,27.415984731789266,1.0982847513991878
2024-08-23,18.819297772652124,26.930143933755147,27.873380705142274,-0.9432367713871272,12.519282786204247,13.187909789964694,-0.6686270037604469,33.16301145524468,31.71846080982566,1.4445506454190173,1.0239316738601023,2.291754005078302,-1.2678223312181995,8.461065644741106,8.6715274174673,-0.21046177272619282,30.81835114210747,29.172753908434522,1.645597233672948
2024-08-26,18.796428702380396,27.627363036229585,27.769045547912906,-0.1416825116833209,12.040116719861974,12.902039913452892,-0.8619231935909184,32.974634024026926,31.33423854971376,1.6403954743131663,1.8587384099748114,4.536033429007872,-2.6772950190330604,7.717502615693952,7.327938571041931,0.38956404465202166,30.560217408495145,28.909276203153034,1.6509412053421109
2024-08-27,18.556779264505398,27.295509547082965,26.80921208991931,0.4862974571636549,11.82437455926828,12.436251157385419,-0.6118765981171386,30.945738700923474,29.672738604516468,1.2730000964070065,3.718213066376304,6.9350101183476465,-3.2167970519713425,7.483836085878676,7.023847897657329,0.459988188221347,30.073003627502683,28.463615719206203,1.6093879082964797
2024-08-28,18.440514882580274,27.339124485218335,26.687726177967335,0.6513983072510001,11.906124495664145,12.604765486960435,-0.6986409912962905,29.228288582614564,28.457210439946675,0.7710781426678892,4.021234393671533,6.958470458110916,-2.9372360644393822,8.045864591087563,7.372655260845293,0.6732093302422699,30.102452747225485,28.562261471650967,1.540191275574518
2024-08-29,19.509592287979196,28.626707503579564,27.927131642843044,0.6995758607365197,12.65760328114211,13.598036065261947,-0.940432784119837,30.886005481626167,29.860989436991538,1.0250160446346293,3.718556578842324,6.910985162728264,-3.19242858388594,8.715218548388707,8.678936976912743,0.036281571475964114,32.4534623342963,30.08147444313762,2.3719878911586783
2024-08-30,19.19990877618899,27.683263842514382,27.155410549315643,0.5278532931987385,12.100902752409043,12.868799400297554,-0.7678966478885112,30.979192051559117,29.83885889475703,1.140333156802086,3.4745889213731735,6.879313998742479,-3.404725077369305,9.040229755115101,8.992698017299714,0.047531737815386776,31.921275334163155,29.46437179672155,2.4569035374416046
