+date,total_tci,short_term_TCI,medium_term_TCI,long_term_TCI
+2021-02-05,17.288117376563132,16.99623580244478,17.56304421888711,17.375895989017074
+2021-02-08,17.09040014555572,16.92036728246293,17.21424429519357,17.148685501956372
+2021-02-09,16.232561502742964,16.028139000443314,16.319582602480878,16.201374562977406
+2021-02-10,15.806059737131708,15.652126734614194,15.900800367269058,15.769814421637326
+2021-02-11,15.673397753530448,15.455413593476564,15.952996303959493,15.809103317056342
+2021-02-12,14.823272011110728,15.019690457978449,14.378723989018628,14.157003955946593
+2021-02-17,15.745258810175402,15.924628868147344,15.163422982303956,14.766404220296591
+2021-02-18,19.942766394161417,20.56842093539193,18.32940810234807,17.66758414756149
+2021-02-19,20.09872775873684,20.56463364416576,18.250717280349228,17.005134446227764
+2021-02-22,19.04940727777967,18.378614358390347,19.870946516040004,20.19604335922708
+2021-02-23,18.30271015334957,17.66151545273162,19.23258707375212,19.432645744085
+2021-02-24,17.922998198941762,17.25588121872542,18.904644369681147,19.088075898646707
+2021-02-25,21.675760382341807,21.51785349294122,21.189557209348116,20.78555864106653
+2021-02-26,21.88604444695088,20.967414194610377,22.836963373553253,22.947400124157024
+2021-03-01,21.673138322909903,21.093705298646583,22.398795482816503,22.23393583737048
+2021-03-02,19.338445203206188,18.55659319931792,20.20616316356019,20.220172591701267
+2021-03-03,19.29567093276203,18.686079334280773,20.106824666524755,20.03176977712311
+2021-03-04,18.644504016303333,18.09039326088703,19.457487659107567,19.43801139349565
+2021-03-05,17.89282596378865,17.177437748160795,18.632530873729912,18.540820570287963
+2021-03-08,17.240141591110618,17.04306696658162,17.301942195255528,16.99786189283752
+2021-03-09,17.7752535103137,17.66305509333379,17.597175065487267,17.20783377968934
+2021-03-10,17.859599313229204,17.62139708946079,17.86461914351203,17.549197482646797
+2021-03-11,17.471307109919298,17.263908218005643,17.45606337753987,17.095543165027234
+2021-03-12,17.478975292867673,17.22950463242364,17.56411661536337,17.26153331147483
+2021-03-15,17.29008602839103,17.033280640104707,17.34120197392377,17.068108519833483
+2021-03-16,17.685041448255337,17.448705799081853,17.64491693214362,17.3033778325563
+2021-03-17,17.539716182777752,17.436602179966563,17.272039841465784,16.932376572614487
+2021-03-18,19.55625122212352,19.617092462615226,18.77281014808732,18.22075809061853
+2021-03-19,18.244284399703016,18.45296130010216,17.572302043080224,17.095200038268178
+2021-03-22,17.982316306829834,18.17712219917356,17.355399736374558,16.92311861439928
+2021-03-23,19.62700348382257,20.27282632696711,18.23712344450107,17.673377725303563
